POSITION,NAME,TACKLES,SACKS,FORCEDFUMBLES,INTERCEPTIONS
DL,Abdesmad.Mehdi,0,0,0,0
DL,Addison.Mario,23,6,0,0
DL,Alecxih.Chas,0,0,0,0
DL,Allen.Beau,28,0,0,0
DL,Alualu.Tyson,26,2,0,0
DL,Anderson.Demetris,0,0,0,0
DL,Anderson.Henry,31,1,0,0
DL,Ansah.Ezekiel,47,15,4,0
DL,Anunike.Kenny,1,0,0,0
DL,Armstead.Arik,19,2,0,0
DL,Ash.Richard,0,0,0,0
DL,Atkins.Geno,42,11,1,0
DL,Autry.Denico,22,3,0,0
DL,Avril.Cliff,47,9,2,0
DL,Babineaux.Jonathan,30,2,1,1
DL,Bailey.Allen,38,5,2,0
DL,Bailey.Sterling,0,0,0,0
DL,Baker.Chris,53,6,3,0
DL,Barnes.T.J.,4,0,0,0
DL,Barnes.Tavaris,5,0,0,0
DL,Barney.Tarow,0,0,0,0
DL,Bars.Brad,2,0,0,0
DL,Bennett.Michael,10,1,0,0
DL,Bennett.Michael,52,10,2,0
DL,Billings.Andrew,0,0,0,0
DL,Blackson.Angelo,15,3,1,0
DL,Blair.Ronald,0,0,0,0
DL,Bosa.Joey,0,0,0,0
DL,Branch.Alan,35,1,2,0
DL,Branch.Andre,24,4,2,0
DL,Britz.Travis,0,0,0,0
DL,Brockers.Michael,44,3,0,0
DL,Bromley.Jay,36,0,0,0
DL,Brown.Kourtnei,2,0,0,0
DL,Brown.Malcom,48,3,0,0
DL,Brown.Ryan,0,0,0,0
DL,Browner.Keith,0,0,0,0
DL,Bryant.Brandin,0,0,0,0
DL,Bryant.Corbin,45,0,0,0
DL,Bryant.Desmond,33,6,1,0
DL,Bryant.Red,5,0,0,0
DL,Buckner.DeForest,0,0,0,0
DL,Bullard.Jonathan,0,0,0,0
DL,Butler.Vernon,0,0,0,0
DL,Campbell.Calais,61,5,0,0
DL,Capi.Nordly,0,0,0,0
DL,Carradine.Tank,22,1,1,0
DL,Carrethers.Ryan,24,0,0,0
DL,Casey.Jurrell,54,7,0,0
DL,Catapano.Mike,3,1,0,0
DL,Charles.Stefan,13,1,1,0
DL,Cherry.Demetrius,0,0,0,0
DL,Clark.Frank,16,3,1,0
DL,Clark.Kenny,0,0,0,0
DL,Clarke.Will,4,1,0,0
DL,Clayborn.Adrian,15,3,0,0
DL,Clemons.Chris,14,3,1,0
DL,Cockran.Theiren,0,0,0,0
DL,Coe.Rodney,0,0,0,0
DL,Coleman.Deandre,4,0,0,0
DL,Coley.Trevon,0,0,0,0
DL,Collins.Maliek,0,0,0,0
DL,Cooper.Xavier,19,2,0,0
DL,Copeland.Brandon,14,1,0,0
DL,Coples.Quinton,8,0,0,0
DL,Covington.Christian,8,2,0,0
DL,Cowser.James,0,0,0,0
DL,Cox.Fletcher,71,10,3,0
DL,Cox.Rakim,0,0,0,0
DL,Crawford.Corey,0,0,0,0
DL,Crawford.Jack,21,4,0,0
DL,Crawford.Tyrone,35,5,0,0
DL,Crichton.Scott,8,0,0,0
DL,Crick.Jared,48,2,1,0
DL,Crume.Eric,0,0,0,0
DL,Curry.Vinny,12,4,0,0
DL,Daniels.Mike,49,4,1,1
DL,Dareus.Marcell,51,2,0,0
DL,Davis.Carl,11,0,0,0
DL,Davis.Dominique,0,0,0,0
DL,Davis.Ryan,11,4,1,0
DL,Davison.Tyeler,18,2,0,0
DL,Day.Sheldon,0,0,0,0
DL,Dean.David,0,0,0,0
DL,Delaire.Ryan,8,3,0,0
DL,Dial.Quinton,59,3,0,0
DL,Donald.Aaron,69,11,0,0
DL,Dorsey.Glenn,18,0,0,0
DL,Douzable.Leger,14,0,0,0
DL,Dunlap.Carlos,55,14,2,0
DL,Dunn.Brandon,9,0,0,0
DL,Ealy.Kony,32,5,3,0
DL,Easley.Dominique,15,2,0,0
DL,Edwards.Lavar,0,0,0,0
DL,Edwards.Mario,42,2,3,0
DL,Ellis.Justin,22,0,0,0
DL,Ellis.Kenrick,5,0,0,0
DL,Enemkpali.IK,13,0,0,0
DL,Fairley.Nick,29,1,0,0
DL,Fede.Terrence,16,0,0,0
DL,Ferguson.Ego,3,0,0,0
DL,Flowers.Trey,0,0,0,0
DL,Floyd.Sharrif,34,3,0,0
DL,Fowler.Dante,0,0,0,0
DL,Fox.Morgan,0,0,0,0
DL,Francis.A.J.,2,0,0,0
DL,Gangwish.Jack,0,0,0,0
DL,Gholston.William,67,3,1,0
DL,Gibson.Deonte,0,0,0,0
DL,Gilberry.Wallace,23,2,1,0
DL,Goldman.Eddie,22,5,0,0
DL,Golston.Kedric,10,0,0,0
DL,Goodman.Malliciah,3,0,0,0
DL,Gotsis.Adam,0,0,0,0
DL,Gregory.Randy,11,0,0,0
DL,Griffen.Everson,44,11,1,0
DL,Guion.Letroy,21,0,0,0
DL,Gunter.Rodney,19,1,0,0
DL,Guy.Lawrence,46,5,0,0
DL,Gwacham.Obum,8,3,1,0
DL,Hageman.Ra'Shede,27,1,0,0
DL,Hamilton.Justin,0,0,0,0
DL,Hamilton.Woodrow,0,0,0,0
DL,Hankins.Johnathan,30,0,1,0
DL,Hardison.Marcus,0,0,0,0
DL,Hargrave.Javon,0,0,0,0
DL,Harris.Shelby,12,1,0,0
DL,Harrison.Damon,72,1,1,0
DL,Hart.Taylor,27,0,0,0
DL,Hayden.Nick,48,0,0,0
DL,Hayes.William,53,6,2,0
DL,Heath.Joel,0,0,0,0
DL,Henry.Willie,0,0,0,0
DL,Heurtelou.Calvin,0,0,0,0
DL,Heyward.Cameron,54,7,1,0
DL,Hicks.Akiem,23,3,0,0
DL,Hill.Jordan,24,0,0,0
DL,Holmes.Tyrone,0,0,0,0
DL,Hood.Ziggy,0,0,0,0
DL,Hooks.Lavon,0,0,0,0
DL,Horton.Wes,7,1,0,0
DL,Howard.Jaye,57,6,1,0
DL,Howard.Ra'Zahn,0,0,0,0
DL,Hughes.Jerry,52,5,2,0
DL,Hughes.John,24,2,1,0
DL,Hughes.Montori,6,0,0,0
DL,Huguenin.Farrington,0,0,0,0
DL,Hunt.Margus,2,0,0,0
DL,Hunter.Danielle,33,6,1,0
DL,Hyder.Kerry,0,0,0,0
DL,Iddings.Drew,0,0,0,0
DL,Ioannidis.Matthew,0,0,0,0
DL,Irving.David,13,1,0,0
DL,Jackson.Tyson,31,0,0,0
DL,Jackson.Branden,0,0,0,0
DL,Jackson.Malik,45,5,0,0
DL,Jackson.Marquis,0,0,0,0
DL,Jarrett.Grady,24,1,0,0
DL,JeanFrancois.Ricky,25,2,0,0
DL,Jefferson.Quinton,0,0,0,0
DL,Jenkins.Jarvis,32,4,0,0
DL,Jenkins.John,49,1,1,0
DL,Jenkins.Shaneil,0,0,0,0
DL,Jernigan.Timmy,37,4,0,0
DL,Jerod-Eddie.Tony,14,0,0,0
DL,Johnson.Anthony,0,0,0,0
DL,Johnson.Austin,0,0,0,0
DL,Johnson.Charles,12,1,0,0
DL,Johnson.Cory,0,0,0,0
DL,Johnson.George,23,0,2,0
DL,Johnson.Michael,42,5,3,0
DL,Johnson.Toby,0,0,0,0
DL,Johnson.Tom,36,6,0,0
DL,Jones.Abry,17,2,1,0
DL,Jones.Arthur,0,0,0,0
DL,Jones.Chris,0,0,0,0
DL,Jones.Chris,0,0,0,0
DL,Jones.DaQuan,45,0,0,0
DL,Jones.Datone,20,3,0,0
