POSITION,NAME,TOUCHDOWNS,INTERCEPTIONSTHROWN,YARDS,CARRIES,RECEPTIONS
QB,Allen.Brandon,0,0,0,0,0
QB,Anderson.Derek,0,0,36,0,0
QB,Barkley.Matt,0,0,0,0,0
QB,Bercovici.Mike,0,0,0,0,0
QB,Bethel-Thompson.McLeod,0,0,0,0,0
QB,Bortles.Blake,35,18,4428,0,0
QB,Boykin.Trevone,0,0,0,0,0
QB,Bradford.Sam,19,14,3725,0,0
QB,Brady.Tom,36,7,4770,0,0
QB,Bray.Tyler,0,0,0,0,0
QB,Brees.Drew,32,11,4870,0,0
QB,Bridgewater.Teddy,14,9,3231,0,0
QB,Brissett.Jacoby,0,0,0,0,0
QB,Callahan.Joe,0,0,0,0,0
QB,Carr.Derek,32,13,3987,0,0
QB,Cassel.Matt,5,7,1276,0,0
QB,Clemens.Kellen,1,0,63,0,0
QB,Coker.Jake,0,0,0,0,0
QB,Cook.Connor,0,0,0,0,0
QB,Cousins.Kirk,29,11,4166,0,0
QB,Cutler.Jay,21,11,3659,0,0
QB,Dalton.Andy,25,7,3250,0,0
QB,Daniel.Chase,0,0,4,0,0
QB,Davis.Austin,1,3,547,0,0
QB,Doughty.Brandon,0,0,0,0,0
QB,Driskel.Jeff,0,0,0,0,0
QB,Dysert.Zac,0,0,0,0,0
QB,Fales.David,0,0,0,0,0
QB,Fitzpatrick.Ryan,31,15,3905,0,0
QB,Flacco.Joe,14,12,2791,0,0
QB,Gabbert.Blaine,10,7,2031,0,0
QB,Garoppolo.Jimmy,0,0,6,0,0
QB,Glennon.Mike,0,0,0,0,0
QB,Goff.Jared,0,0,0,0,0
QB,Gradkowski.Bruce,0,0,0,0,0
QB,Grayson.Garrett,0,0,0,0,0
QB,Griffin.Ryan,0,0,0,0,0
QB,GriffinIII.Robert,0,0,0,0,0
QB,Hackenberg.Christian,0,0,0,0,0
QB,Heaps.Jake,0,0,0,0,0
QB,Heinicke.Taylor,0,0,0,0,0
QB,Henne.Chad,0,0,0,0,0
QB,Hill.Shaun,0,0,15,0,0
QB,Hogan.Kevin,0,0,0,0,0
QB,Hoyer.Brian,19,7,2606,0,0
QB,Hundley.Brett,0,0,0,0,0
QB,Johnson.Jerrod,0,0,0,0,0
QB,Johnson.Josh,0,0,0,0,0
QB,Jones.Cardale,0,0,0,0,0
QB,Jones.Landry,3,4,513,0,0
QB,Kaepernick.Colin,6,5,1615,0,0
QB,Keenum.Case,4,1,828,0,0
QB,Kessler.Cody,0,0,0,0,0
QB,LeFevour.Dan,0,0,0,0,0
QB,Lewis.Thad,0,0,0,0,0
QB,Licata.Joe,0,0,0,0,0
QB,Luck.Andrew,15,12,1881,0,0
QB,Lynch.Paxton,0,0,0,0,0
QB,Mallett.Ryan,5,6,1336,0,0
QB,Manning.Eli,35,14,4432,0,0
QB,Mannion.Sean,0,0,31,0,0
QB,Manuel.EJ,3,3,561,0,0
QB,Mariota.Marcus,19,10,2818,0,0
QB,McCarron.AJ,6,2,854,0,0
QB,McCown.Josh,12,4,2109,0,0
QB,McCown.Luke,0,1,335,0,0
QB,McCoy.Colt,1,0,128,0,0
QB,McGloin.Matt,2,1,142,0,0
QB,Mettenberger.Zach,4,7,935,0,0
QB,Moore.Kellen,4,6,779,0,0
QB,Moore.Matt,0,0,14,0,0
QB,Morris.Stephen,0,0,0,0,0
QB,Murray.Aaron,0,0,0,0,0
QB,Nassib.Ryan,1,0,68,0,0
QB,Newton.Cam,35,10,3837,0,0
QB,Orlovsky.Dan,1,1,201,0,0
QB,Osweiler.Brock,10,6,1967,0,0
QB,Palmer.Carson,35,11,4671,0,0
QB,Petty.Bryce,0,0,0,0,0
QB,Prescott.Dak,0,0,0,0,0
QB,Renfree.Sean,0,1,11,0,0
QB,Rivers.Philip,29,13,4792,0,0
QB,Rodgers.Aaron,31,8,3821,0,0
QB,Roethlisberger.Ben,21,16,3938,0,0
QB,Romo.Tony,5,7,884,0,0
QB,Rudock.Jake,0,0,0,0,0
QB,Ryan.Matt,21,16,4591,0,0
QB,Sanchez.Mark,4,4,616,0,0
QB,Savage.Tom,0,0,0,0,0
QB,Schaub.Matt,3,4,540,0,0
QB,Shaw.Connor,0,0,0,0,0
QB,Showers.Jameill,0,0,0,0,0
QB,Siemian.Trevor,0,0,0,0,0
QB,Simms.Matt,0,0,0,0,0
QB,Smith.Alex,20,7,3486,0,0
QB,Smith.Geno,2,1,265,0,0
QB,Stafford.Matthew,32,13,4262,0,0
QB,Stanton.Drew,0,2,104,0,0
